Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,106.68,-67.056,90.0,bottom
C2,1uF,C_0402_1005Metric,100.584,-68.1,-90.0,bottom
C3,22pF,C_0402_1005Metric,123.317,-78.867,45.0,bottom
C4,22pF,C_0402_1005Metric,119.253,-79.121,135.0,bottom
C5,100nF,C_0402_1005Metric,117.4496,-61.11875,90.0,bottom
C6,1uF,C_0402_1005Metric,114.3,-63.9572,90.0,bottom
C7,100nF,C_0402_1005Metric,115.824,-75.7428,180.0,bottom
C8,100nf,C_0402_1005Metric,118.5164,-61.11875,90.0,bottom
C9,10uF,C_0402_1005Metric,107.823,-67.056,90.0,bottom
C10,1uF,C_0402_1005Metric,113.1316,-63.9572,90.0,bottom
C11,100nF,C_0402_1005Metric,120.65,-57.9628,90.0,bottom
C12,100nf,C_0402_1005Metric,112.4204,-66.548,180.0,bottom
C13,100nf,C_0402_1005Metric,115.824,-76.708,180.0,bottom
C14,100nf,C_0402_1005Metric,123.19,-65.786,0.0,bottom
C15,100nf,C_0402_1005Metric,112.268,-70.231,180.0,bottom
C16,100nf,C_0402_1005Metric,123.432,-69.993,0.0,bottom
C17,100nf,C_0402_1005Metric,112.4204,-65.532,180.0,bottom
D1,D_Small,D_SOD-123,61.9125,-66.675,90.0,bottom
D2,D_Small,D_SOD-123,138.1125,-66.675,90.0,bottom
D3,D_Small,D_SOD-123,71.4375,-93.6625,90.0,bottom
D4,D_Small,D_SOD-123,90.4875,-93.6625,90.0,bottom
D5,D_Small,D_SOD-123,109.5375,-93.6625,90.0,bottom
D6,D_Small,D_SOD-123,128.5875,-93.6625,90.0,bottom
D7,D_Small,D_SOD-123,147.6375,-93.6625,90.0,bottom
D8,D_Small,D_SOD-123,71.4375,-112.7125,90.0,bottom
D9,D_Small,D_SOD-123,90.4875,-112.7125,90.0,bottom
D10,D_Small,D_SOD-123,109.5375,-112.7125,90.0,bottom
D11,D_Small,D_SOD-123,128.5875,-112.7125,90.0,bottom
D12,D_Small,D_SOD-123,147.6375,-112.7125,90.0,bottom
D13,D_Small,D_SOD-123,71.4375,-131.7625,90.0,bottom
D14,D_Small,D_SOD-123,90.4875,-131.7625,90.0,bottom
D15,D_Small,D_SOD-123,109.5375,-131.7625,90.0,bottom
D16,D_Small,D_SOD-123,128.5875,-131.7625,90.0,bottom
D17,D_Small,D_SOD-123,147.6375,-131.7625,90.0,bottom
D18,D_Small,D_SOD-123,71.4375,-150.8125,90.0,bottom
D19,D_Small,D_SOD-123,90.4875,-150.8125,90.0,bottom
D20,D_Small,D_SOD-123,109.5375,-150.8125,90.0,bottom
D21,D_Small,D_SOD-123,128.5875,-150.8125,90.0,bottom
D22,D_Small,D_SOD-123,147.6375,-150.8125,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,100.584,-64.77,-90.0,bottom
J1,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,103.1875,-54.76875,180.0,bottom
R1,27R,R_0603_1608Metric,109.347,-61.849,180.0,bottom
R2,27R,R_0603_1608Metric,109.347,-63.627,0.0,bottom
R3,5.1k,R_0402_1005Metric,101.727,-61.214,90.0,bottom
R4,5.1k,R_0402_1005Metric,105.41,-60.579,180.0,bottom
R5,1k,R_0402_1005Metric,119.507,-76.327,45.0,bottom
R6,1k,R_0402_1005Metric,129.794,-56.007,-90.0,bottom
R7,10k,R_0402_1005Metric,102.87,-73.914,0.0,bottom
U1,RP2040,RP2040-QFN-56,117.7036,-69.2912,0.0,bottom
U2,SRV05-4,SOT-23-6-routable,105.918,-63.246,90.0,bottom
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,126.20625,-60.325,270.0,bottom
U4,XC6206,SOT-23,103.886,-67.564,180.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,121.362223,-77.597,135.0,bottom
